Voter,Affiliation,1st,2nd,3rd,Year,Award
Scott Agness,The Athletic,"Budenholzer, Mike (Milwaukee Bucks)","Rivers, Doc (LA Clippers)","McMillan, Nate (Indiana Pacers)",2019,COY
Marv Albert,Turner Sports,"Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)","Rivers, Doc (LA Clippers)",2019,COY
Sam Amick,The Athletic,"Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)","Rivers, Doc (LA Clippers)",2019,COY
Jason Anderson,Sacramento Bee,"Budenholzer, Mike (Milwaukee Bucks)","Rivers, Doc (LA Clippers)","Malone, Mike (Denver Nuggets)",2019,COY
Greg Anthony,Turner Sports,"Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)","Atkinson, Kenny (Brooklyn Nets)",2019,COY
Kevin Arnovitz,ESPN,"Budenholzer, Mike (Milwaukee Bucks)","Rivers, Doc (LA Clippers)","Atkinson, Kenny (Brooklyn Nets)",2019,COY
Steve Aschburner,NBA.com,"Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)","Rivers, Doc (LA Clippers)",2019,COY
Jon Barry,ESPN,"Budenholzer, Mike (Milwaukee Bucks)","Rivers, Doc (LA Clippers)","Atkinson, Kenny (Brooklyn Nets)",2019,COY
Michelle Beadle,ESPN,"Budenholzer, Mike (Milwaukee Bucks)","McMillan, Nate (Indiana Pacers)","Atkinson, Kenny (Brooklyn Nets)",2019,COY
Rod Beard,Detroit News,"Budenholzer, Mike (Milwaukee Bucks)","Rivers, Doc (LA Clippers)","Malone, Mike (Denver Nuggets)",2019,COY
Howard Beck,Bleacher Report,"Budenholzer, Mike (Milwaukee Bucks)","Atkinson, Kenny (Brooklyn Nets)","Rivers, Doc (LA Clippers)",2019,COY
A. Blakely,NBC Sports Boston,"Rivers, Doc (LA Clippers)","Malone, Mike (Denver Nuggets)","McMillan, Nate (Indiana Pacers)",2019,COY
Stefan Bondy,New York Daily News,"Malone, Mike (Denver Nuggets)","Budenholzer, Mike (Milwaukee Bucks)","McMillan, Nate (Indiana Pacers)",2019,COY
Tim Bontemps,ESPN,"Joerger, David (Sacramento Kings)","Rivers, Doc (LA Clippers)","Budenholzer, Mike (Milwaukee Bucks)",2019,COY
Mike Breen,ESPN,"Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)","Rivers, Doc (LA Clippers)",2019,COY
Chris Broussard,Fox Sports,"Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)","Rivers, Doc (LA Clippers)",2019,COY
Ric Bucher,Bleacher Report,"Budenholzer, Mike (Milwaukee Bucks)","Malone, Mike (Denver Nuggets)","Atkinson, Kenny (Brooklyn Nets)",2019,COY
Doris Burke,ESPN,"Budenholzer, Mike (Milwaukee Bucks)","Rivers, Doc (LA Clippers)","Malone, Mike (Denver Nuggets)",2019,COY
