Voter,Affiliation,1st,2nd,3rd,Year,Award
Marv Albert,Turner,"Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Davis, Anthony (LAL)",2019,DPOY
Sam Amick,The Athletic,"Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Davis, Anthony (LAL)",2019,DPOY
Jason Anderson,Sacramento Bee,"Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Davis, Anthony (LAL)",2019,DPOY
Greg Anthony,Turner,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)",2019,DPOY
Kevin Arnovitz,ESPN,"Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Lopez, Brook (MIL)",2019,DPOY
Steve Aschburner,NBA.com,"Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)",2019,DPOY
Antoine Bancharel,Canal+ Afrique,"Gobert, Rudy (UTA)","Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)",2019,DPOY
Renjun Bao,Tencent,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)",2019,DPOY
Evan Barnes,Memphis Commercial Appeal,"Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Davis, Anthony (LAL)",2019,DPOY
Jon Barry,ESPN,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Simmons, Ben (PHI)",2019,DPOY
Rod Beard,Detroit News,"Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Davis, Anthony (LAL)",2019,DPOY
Howard Beck,Bleacher Report,"Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Davis, Anthony (LAL)",2019,DPOY
Marc Berman,New York Post,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Leonard, Kawhi (LAC)",2019,DPOY
Tim Bontemps,ESPN,"Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Davis, Anthony (LAL)",2019,DPOY
Mike Breen,ESPN,"Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)",2019,DPOY
Chris Broussard,Fox Sports,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Adebayo, Bam (MIA)",2019,DPOY
Ric Bucher,Bleacher Report,"Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Davis, Anthony (LAL)",2019,DPOY
Doris Burke,ESPN,"Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Davis, Anthony (LAL)",2019,DPOY
Shams Charania,The Athletic/Stadium,"Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Antetokounmpo, Giannis (MIL)",2019,DPOY
Anthony Chiang,Miami Herald,"Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Davis, Anthony (LAL)",2019,DPOY
Davide Chinellato,La Gazzetta dello Sport,"Davis, Anthony (LAL)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)",2019,DPOY
Joe Cowley,Chicago Sun-Times,"Beverley, Patrick (LAC)","Davis, Anthony (LAL)","Antetokounmpo, Giannis (MIL)",2019,DPOY
Antoni Daimiel,Movistar+,"Adebayo, Bam (MIA)","Davis, Anthony (LAL)","Lopez, Brook (MIL)",2019,DPOY
Dan Devine,The Ringer,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Simmons, Ben (PHI)",2019,DPOY
