Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Year
Anthony Chiang,Miami Herald,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Williamson, Zion (NOP)","Clarke, Brandon (MEM)","Davis, Terence (TOR)","Thybulle, Matisse (PHI)","Herro, Tyler (MIA)","Washington, P.J. (CHA)","White, Coby (CHI)","Paschall, Eric (GSW)",2019
Davide Chinellato,La Gazzetta dello Sport,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)","Hachimura, Rui (WAS)","Paschall, Eric (GSW)","Barrett, R.J. (NYK)","Herro, Tyler (MIA)","Clarke, Brandon (MEM)","Washington, P.J. (CHA)","Thybulle, Matisse (PHI)",2019
Joe Cowley,Chicago Sun-Times,"Williamson, Zion (NOP)","Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)","White, Coby (CHI)","Barrett, R.J. (NYK)","Washington, P.J. (CHA)","Hachimura, Rui (WAS)","Herro, Tyler (MIA)","Paschall, Eric (GSW)",2019
Antoni Daimiel,Movistar+,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)","Washington, P.J. (CHA)","Paschall, Eric (GSW)","Hachimura, Rui (WAS)","Davis, Terence (TOR)","Barrett, R.J. (NYK)","White, Coby (CHI)",2019
Dan Devine,The Ringer,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Clarke, Brandon (MEM)","Nunn, Kendrick (MIA)","Davis, Terence (TOR)","Washington, P.J. (CHA)","Thybulle, Matisse (PHI)","Herro, Tyler (MIA)","Paschall, Eric (GSW)","White, Coby (CHI)",2019
Amin Elhassan,ESPN,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)","Paschall, Eric (GSW)","Washington, P.J. (CHA)","Thybulle, Matisse (PHI)","Garland, Darius (CLE)","Hachimura, Rui (WAS)","Herro, Tyler (MIA)","Hayes, Jaxson (NOP)",2019
Chris Fedor,Cleveland.com,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Williamson, Zion (NOP)","Davis, Terence (TOR)","Clarke, Brandon (MEM)","Paschall, Eric (GSW)","White, Coby (CHI)","Herro, Tyler (MIA)","Hachimura, Rui (WAS)","Washington, P.J. (CHA)",2019
Mike Ganter,The Toronto Sun,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)","Williamson, Zion (NOP)","Barrett, R.J. (NYK)","Herro, Tyler (MIA)","Paschall, Eric (GSW)","Washington, P.J. (CHA)","Hachimura, Rui (WAS)","Davis, Terence (TOR)",2019
Vince Goodwill,Yahoo! Sports,"Williamson, Zion (NOP)","Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Paschall, Eric (GSW)","Clarke, Brandon (MEM)","Hachimura, Rui (WAS)","White, Coby (CHI)","Herro, Tyler (MIA)","Garland, Darius (CLE)","Washington, P.J. (CHA)",2019
Jared Greenberg,Turner,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)","Davis, Terence (TOR)","Paschall, Eric (GSW)","Washington, P.J. (CHA)","White, Coby (CHI)","Thybulle, Matisse (PHI)","Herro, Tyler (MIA)",2019
Will Guillory,The Athletic,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)","Herro, Tyler (MIA)","Davis, Terence (TOR)","Washington, P.J. (CHA)","White, Coby (CHI)","Thybulle, Matisse (PHI)","Barrett, R.J. (NYK)",2019
Kevin Harlan,Turner,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Williamson, Zion (NOP)","Clarke, Brandon (MEM)","Davis, Terence (TOR)","White, Coby (CHI)","Thybulle, Matisse (PHI)","Washington, P.J. (CHA)","Paschall, Eric (GSW)","Herro, Tyler (MIA)",2019
