Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Year
Steve Smith,Turner,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)","Williamson, Zion (NOP)","Paschall, Eric (GSW)","Barrett, R.J. (NYK)","Herro, Tyler (MIA)","Hachimura, Rui (WAS)","White, Coby (CHI)","Washington, P.J. (CHA)",2019
Seerat Sohi,Yahoo! Sports,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Williamson, Zion (NOP)","Herro, Tyler (MIA)","Hachimura, Rui (WAS)","Davis, Terence (TOR)","Hayes, Jaxson (NOP)","Thybulle, Matisse (PHI)","Barrett, R.J. (NYK)","White, Coby (CHI)",2019
Casey Stern,Turner,"Williamson, Zion (NOP)","Morant, Ja (MEM)","Clarke, Brandon (MEM)","Nunn, Kendrick (MIA)","Hachimura, Rui (WAS)","Paschall, Eric (GSW)","Washington, P.J. (CHA)","Barrett, R.J. (NYK)","Herro, Tyler (MIA)","White, Coby (CHI)",2019
Mirjam Swanson,Southern California News Group,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)","Davis, Terence (TOR)","Barrett, R.J. (NYK)","White, Coby (CHI)","Hachimura, Rui (WAS)","Herro, Tyler (MIA)","Washington, P.J. (CHA)","Hunter, De'Andre (ATL)",2019
Maria Taylor,ESPN,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)","Herro, Tyler (MIA)","Clarke, Brandon (MEM)","Barrett, R.J. (NYK)","Johnson, Cameron (PHX)","White, Coby (CHI)","Washington, P.J. (CHA)","Thybulle, Matisse (PHI)",2019
Justin Termine,Sirius Radio,"Morant, Ja (MEM)","Clarke, Brandon (MEM)","Nunn, Kendrick (MIA)","Davis, Terence (TOR)","Williamson, Zion (NOP)","Thybulle, Matisse (PHI)","Washington, P.J. (CHA)","White, Coby (CHI)","Paschall, Eric (GSW)","Herro, Tyler (MIA)",2019
Brad Townsend,Dallas Morning News,"Morant, Ja (MEM)","Clarke, Brandon (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)","Paschall, Eric (GSW)","Herro, Tyler (MIA)","Washington, P.J. (CHA)","Davis, Terence (TOR)","Barrett, R.J. (NYK)","Hachimura, Rui (WAS)",2019
Joe Vardon,The Athletic,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)","Davis, Terence (TOR)","Herro, Tyler (MIA)","Barrett, R.J. (NYK)","Hachimura, Rui (WAS)","White, Coby (CHI)","Paschall, Eric (GSW)",2019
Matt Velazquez,Milwaukee Journal Sentinel,"Morant, Ja (MEM)","Clarke, Brandon (MEM)","Nunn, Kendrick (MIA)","Paschall, Eric (GSW)","Williamson, Zion (NOP)","Herro, Tyler (MIA)","Washington, P.J. (CHA)","Thybulle, Matisse (PHI)","White, Coby (CHI)","Davis, Terence (TOR)",2019
Gary Washburn,Boston Globe,"Morant, Ja (MEM)","Paschall, Eric (GSW)","Nunn, Kendrick (MIA)","Barrett, R.J. (NYK)","Washington, P.J. (CHA)","Garland, Darius (CLE)","Hachimura, Rui (WAS)","White, Coby (CHI)","Herro, Tyler (MIA)","Williamson, Zion (NOP)",2019
Michael Wilbon,ESPN,"Morant, Ja (MEM)","Williamson, Zion (NOP)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)","Davis, Terence (TOR)","Porter, Michael Jr. (DEN)","White, Coby (CHI)","Herro, Tyler (MIA)","Paschall, Eric (GSW)","Hachimura, Rui (WAS)",2019
Brian Windhorst,ESPN,"Morant, Ja (MEM)","Clarke, Brandon (MEM)","Nunn, Kendrick (MIA)","Paschall, Eric (GSW)","Thybulle, Matisse (PHI)","Washington, P.J. (CHA)","Herro, Tyler (MIA)","Davis, Terence (TOR)","White, Coby (CHI)","Barrett, R.J. (NYK)",2019
Matt Winer,Turner,"Clarke, Brandon (MEM)","Hachimura, Rui (WAS)","Morant, Ja (MEM)","Paschall, Eric (GSW)","Nunn, Kendrick (MIA)","Herro, Tyler (MIA)","White, Coby (CHI)","Washington, P.J. (CHA)","Davis, Terence (TOR)","Thybulle, Matisse (PHI)",2019
Royce Young,ESPN,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Hachimura, Rui (WAS)","Williamson, Zion (NOP)","Clarke, Brandon (MEM)","Herro, Tyler (MIA)","White, Coby (CHI)","Hunter, De'Andre (ATL)","Paschall, Eric (GSW)","Garland, Darius (CLE)",2019
Jeff Zillgitt,USA Today,"Morant, Ja (MEM)","Nunn, Kendrick (MIA)","Clarke, Brandon (MEM)","Williamson, Zion (NOP)","Herro, Tyler (MIA)","Hachimura, Rui (WAS)","Washington, P.J. (CHA)","White, Coby (CHI)","Paschall, Eric (GSW)","Davis, Terence (TOR)",2019
