Voter,Affiliation,1st,2nd,3rd,Year
Marv Albert,Turner,"Schroder, Dennis (OKC)","Harrell, Montrezl (LAC)","Williams, Lou (LAC)",2019
Sam Amick,The Athletic,"Schroder, Dennis (OKC)","Harrell, Montrezl (LAC)","Williams, Lou (LAC)",2019
Jason Anderson,Sacramento Bee,"Schroder, Dennis (OKC)","Harrell, Montrezl (LAC)","Williams, Lou (LAC)",2019
Greg Anthony,Turner,"Harrell, Montrezl (LAC)","Schroder, Dennis (OKC)","Williams, Lou (LAC)",2019
Kevin Arnovitz,ESPN,"Harrell, Montrezl (LAC)","Wood, Christian (DET)","Schroder, Dennis (OKC)",2019
Steve Aschburner,NBA.com,"Harrell, Montrezl (LAC)","Schroder, Dennis (OKC)","Rose, Derrick (DET)",2019
Antoine Bancharel,Canal+ Afrique,"Schroder, Dennis (OKC)","Harrell, Montrezl (LAC)","Hill, George (MIL)",2019
Renjun Bao,Tencent,"Harrell, Montrezl (LAC)","Schroder, Dennis (OKC)","Williams, Lou (LAC)",2019
Evan Barnes,Memphis Commercial Appeal,"Schroder, Dennis (OKC)","Harrell, Montrezl (LAC)","Williams, Lou (LAC)",2019
Jon Barry,ESPN,"Harrell, Montrezl (LAC)","Williams, Lou (LAC)","Schroder, Dennis (OKC)",2019
Rod Beard,Detroit News,"Schroder, Dennis (OKC)","Harrell, Montrezl (LAC)","Wood, Christian (DET)",2019
Howard Beck,Bleacher Report,"Harrell, Montrezl (LAC)","Schroder, Dennis (OKC)","Williams, Lou (LAC)",2019
Marc Berman,New York Post,"Schroder, Dennis (OKC)","Harrell, Montrezl (LAC)","Howard, Dwight (LAL)",2019
Tim Bontemps,ESPN,"Harrell, Montrezl (LAC)","Hill, George (MIL)","Schroder, Dennis (OKC)",2019
Mike Breen,ESPN,"Harrell, Montrezl (LAC)","Schroder, Dennis (OKC)","Williams, Lou (LAC)",2019
Chris Broussard,Fox Sports,"Schroder, Dennis (OKC)","Harrell, Montrezl (LAC)","Williams, Lou (LAC)",2019
Ric Bucher,Bleacher Report,"Harrell, Montrezl (LAC)","Schroder, Dennis (OKC)","Rose, Derrick (DET)",2019
Doris Burke,ESPN,"Harrell, Montrezl (LAC)","Schroder, Dennis (OKC)","Williams, Lou (LAC)",2019
Shams Charania,The Athletic/Stadium,"Williams, Lou (LAC)","Harrell, Montrezl (LAC)","Schroder, Dennis (OKC)",2019
Anthony Chiang,Miami Herald,"Harrell, Montrezl (LAC)","Schroder, Dennis (OKC)","Williams, Lou (LAC)",2019
Davide Chinellato,La Gazzetta dello Sport,"Harrell, Montrezl (LAC)","Williams, Lou (LAC)","Schroder, Dennis (OKC)",2019
Joe Cowley,Chicago Sun-Times,"Harrell, Montrezl (LAC)","Williams, Lou (LAC)","Schroder, Dennis (OKC)",2019
Antoni Daimiel,Movistar+,"Harrell, Montrezl (LAC)","Schroder, Dennis (OKC)","Williams, Lou (LAC)",2019
Dan Devine,The Ringer,"Harrell, Montrezl (LAC)","Schroder, Dennis (OKC)","Hill, George (MIL)",2019
Amin Elhassan,ESPN,"Harrell, Montrezl (LAC)","Schroder, Dennis (OKC)","Williams, Lou (LAC)",2019
Chris Fedor,Cleveland.com,"Schroder, Dennis (OKC)","Harrell, Montrezl (LAC)","Wood, Christian (DET)",2019
Mike Ganter,The Toronto Sun,"Harrell, Montrezl (LAC)","Williams, Lou (LAC)","Hill, George (MIL)",2019
Vince Goodwill,Yahoo! Sports,"Harrell, Montrezl (LAC)","Schroder, Dennis (OKC)","Williams, Lou (LAC)",2019
Jared Greenberg,Turner,"Schroder, Dennis (OKC)","Harrell, Montrezl (LAC)","Dragic, Goran (MIA)",2019
Will Guillory,The Athletic,"Harrell, Montrezl (LAC)","Schroder, Dennis (OKC)","Williams, Lou (LAC)",2019
Kevin Harlan,Turner,"Schroder, Dennis (OKC)","Harrell, Montrezl (LAC)","Williams, Lou (LAC)",2019
Zach Harper,The Athletic,"Harrell, Montrezl (LAC)","Schroder, Dennis (OKC)","Dragic, Goran (MIA)",2019
Chris Haynes,Yahoo! Sports,"Schroder, Dennis (OKC)","Williams, Lou (LAC)","Harrell, Montrezl (LAC)",2019
Kurt Helin,NBCSports.com,"Harrell, Montrezl (LAC)","Schroder, Dennis (OKC)","Rose, Derrick (DET)",2019
Adam Himmelsbach,Boston Globe,"Harrell, Montrezl (LAC)","Schroder, Dennis (OKC)","Williams, Lou (LAC)",2019
Chris Hine,Minneapolis Star Tribune,"Harrell, Montrezl (LAC)","Schroder, Dennis (OKC)","Williams, Lou (LAC)",2019
Erik Horne,The Athletic,"Schroder, Dennis (OKC)","Harrell, Montrezl (LAC)","Williams, Lou (LAC)",2019
