Voter,Affiliation,1st,2nd,3rd,Year
Kevin O'Connor,The Ringer,"Nurse, Nick (Toronto Raptors)","Donovan, Billy (Oklahoma City Thunder)","Rivers, Doc (LA Clippers)",2019
Candace Parker,Turner,"Nurse, Nick (Toronto Raptors)","Donovan, Billy (Oklahoma City Thunder)","Vogel, Frank (Los Angeles Lakers)",2019
Dave Pasch,ESPN,"Nurse, Nick (Toronto Raptors)","Spoelstra, Erik (Miami Heat)","Jenkins, Taylor (Memphis Grizzlies)",2019
Kevin Pelton,ESPN,"Budenholzer, Mike (Milwaukee Bucks)","Nurse, Nick (Toronto Raptors)","Rivers, Doc (LA Clippers)",2019
Keith Pompey,Philadelphia Inquirer and Daily News,"Nurse, Nick (Toronto Raptors)","Spoelstra, Erik (Miami Heat)","Donovan, Billy (Oklahoma City Thunder)",2019
Shaun Powell,NBA.com,"Nurse, Nick (Toronto Raptors)","Budenholzer, Mike (Milwaukee Bucks)","Donovan, Billy (Oklahoma City Thunder)",2019
Jason Quick,The Athletic,"Nurse, Nick (Toronto Raptors)","Spoelstra, Erik (Miami Heat)","Jenkins, Taylor (Memphis Grizzlies)",2019
Duane Rankin,Arizona Republic,"Nurse, Nick (Toronto Raptors)","Budenholzer, Mike (Milwaukee Bucks)","Vogel, Frank (Los Angeles Lakers)",2019
Remi Reverchon,BeIN Sport (France),"Nurse, Nick (Toronto Raptors)","Malone, Michael (Denver Nuggets)","Vogel, Frank (Los Angeles Lakers)",2019
Tim Reynolds,Associated Press,"Nurse, Nick (Toronto Raptors)","Donovan, Billy (Oklahoma City Thunder)","Spoelstra, Erik (Miami Heat)",2019
Josh Robbins,The Athletic,"Nurse, Nick (Toronto Raptors)","Donovan, Billy (Oklahoma City Thunder)","Budenholzer, Mike (Milwaukee Bucks)",2019
Jalen Rose,ESPN,"Nurse, Nick (Toronto Raptors)","Jenkins, Taylor (Memphis Grizzlies)","Malone, Michael (Denver Nuggets)",2019
Simone Sandri,La Gazzetta Dello Sport,"Donovan, Billy (Oklahoma City Thunder)","Nurse, Nick (Toronto Raptors)","Vogel, Frank (Los Angeles Lakers)",2019
Chris Sasaki,Rakuten,"Nurse, Nick (Toronto Raptors)","Budenholzer, Mike (Milwaukee Bucks)","Spoelstra, Erik (Miami Heat)",2019
John Schuhmann,NBA.com,"Nurse, Nick (Toronto Raptors)","Budenholzer, Mike (Milwaukee Bucks)","Stevens, Brad (Boston Celtics)",2019
Dennis Scott,Turner,"Nurse, Nick (Toronto Raptors)","Donovan, Billy (Oklahoma City Thunder)","Spoelstra, Erik (Miami Heat)",2019
Ramona Shelburne,ESPN,"Nurse, Nick (Toronto Raptors)","Jenkins, Taylor (Memphis Grizzlies)","Donovan, Billy (Oklahoma City Thunder)",2019
Bill Simmons,The Ringer,"Nurse, Nick (Toronto Raptors)","Vogel, Frank (Los Angeles Lakers)","Budenholzer, Mike (Milwaukee Bucks)",2019
Doug Smith,The Toronto Star,"Nurse, Nick (Toronto Raptors)","Donovan, Billy (Oklahoma City Thunder)","Jenkins, Taylor (Memphis Grizzlies)",2019
Sekou Smith,NBA.com,"Nurse, Nick (Toronto Raptors)","Spoelstra, Erik (Miami Heat)","Malone, Michael (Denver Nuggets)",2019
Stephen Smith,ESPN,"Nurse, Nick (Toronto Raptors)","McMillan, Nate (Indiana Pacers)","Budenholzer, Mike (Milwaukee Bucks)",2019
Steve Smith,Turner,"Nurse, Nick (Toronto Raptors)","Donovan, Billy (Oklahoma City Thunder)","Budenholzer, Mike (Milwaukee Bucks)",2019
Seerat Sohi,Yahoo! Sports,"McMillan, Nate (Indiana Pacers)","Vogel, Frank (Los Angeles Lakers)","Nurse, Nick (Toronto Raptors)",2019
Casey Stern,Turner,"Nurse, Nick (Toronto Raptors)","Budenholzer, Mike (Milwaukee Bucks)","Vogel, Frank (Los Angeles Lakers)",2019
Mirjam Swanson,Southern California News Group,"Nurse, Nick (Toronto Raptors)","Vogel, Frank (Los Angeles Lakers)","Donovan, Billy (Oklahoma City Thunder)",2019
Maria Taylor,ESPN,"Nurse, Nick (Toronto Raptors)","Jenkins, Taylor (Memphis Grizzlies)","Budenholzer, Mike (Milwaukee Bucks)",2019
Justin Termine,Sirius Radio,"Nurse, Nick (Toronto Raptors)","Jenkins, Taylor (Memphis Grizzlies)","Vogel, Frank (Los Angeles Lakers)",2019
Brad Townsend,Dallas Morning News,"Nurse, Nick (Toronto Raptors)","Donovan, Billy (Oklahoma City Thunder)","Carlisle, Rick (Dallas Mavericks)",2019
Joe Vardon,The Athletic,"Nurse, Nick (Toronto Raptors)","Donovan, Billy (Oklahoma City Thunder)","Vogel, Frank (Los Angeles Lakers)",2019
Matt Velazquez,Milwaukee Journal Sentinel,"Nurse, Nick (Toronto Raptors)","Budenholzer, Mike (Milwaukee Bucks)","Donovan, Billy (Oklahoma City Thunder)",2019
Gary Washburn,Boston Globe,"Nurse, Nick (Toronto Raptors)","Donovan, Billy (Oklahoma City Thunder)","Stevens, Brad (Boston Celtics)",2019
Michael Wilbon,ESPN,"Nurse, Nick (Toronto Raptors)","Spoelstra, Erik (Miami Heat)","Donovan, Billy (Oklahoma City Thunder)",2019
Brian Windhorst,ESPN,"Nurse, Nick (Toronto Raptors)","Donovan, Billy (Oklahoma City Thunder)","Spoelstra, Erik (Miami Heat)",2019
Matt Winer,Turner,"Nurse, Nick (Toronto Raptors)","Budenholzer, Mike (Milwaukee Bucks)","Donovan, Billy (Oklahoma City Thunder)",2019
Royce Young,ESPN,"Nurse, Nick (Toronto Raptors)","Donovan, Billy (Oklahoma City Thunder)","Spoelstra, Erik (Miami Heat)",2019
Jeff Zillgitt,USA Today,"Budenholzer, Mike (Milwaukee Bucks)","Nurse, Nick (Toronto Raptors)","Donovan, Billy (Oklahoma City Thunder)",2019
