Voter,Affiliation,1st,2nd,3rd,4th,5th,Year
Marv Albert,Turner,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)",2019
Sam Amick,The Athletic,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)",2019
Jason Anderson,Sacramento Bee,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Davis, Anthony (LAL)","Leonard, Kawhi (LAC)",2019
Greg Anthony,Turner,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Paul, Chris (OKC)","Doncic, Luka (DAL)","Butler, Jimmy (MIA)",2019
Kevin Arnovitz,ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Davis, Anthony (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)",2019
Steve Aschburner,NBA.com,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Jokic, Nikola (DEN)","Doncic, Luka (DAL)","Paul, Chris (OKC)",2019
Antoine Bancharel,Canal+ Afrique,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)","Harden, James (HOU)",2019
Renjun Bao,Tencent,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)",2019
Evan Barnes,Memphis Commercial Appeal,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)",2019
Jon Barry,ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Lillard, Damian (POR)",2019
Rod Beard,Detroit News,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Davis, Anthony (LAL)","Doncic, Luka (DAL)",2019
Howard Beck,Bleacher Report,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Lillard, Damian (POR)",2019
Marc Berman,New York Post,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)","Harden, James (HOU)",2019
Tim Bontemps,ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Paul, Chris (OKC)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)",2019
Mike Breen,ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)",2019
Chris Broussard,Fox Sports,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Jokic, Nikola (DEN)","Doncic, Luka (DAL)","Harden, James (HOU)",2019
Ric Bucher,Bleacher Report,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Harden, James (HOU)","Butler, Jimmy (MIA)",2019
Doris Burke,ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Davis, Anthony (LAL)","Leonard, Kawhi (LAC)",2019
Shams Charania,The Athletic/Stadium,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)","Butler, Jimmy (MIA)",2019
Anthony Chiang,Miami Herald,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)",2019
Davide Chinellato,La Gazzetta dello Sport,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)","Davis, Anthony (LAL)",2019
Joe Cowley,Chicago Sun-Times,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Butler, Jimmy (MIA)","Harden, James (HOU)",2019
Antoni Daimiel,Movistar+,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Siakam, Pascal (TOR)","Doncic, Luka (DAL)","Tatum, Jayson (BOS)",2019
Dan Devine,The Ringer,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Davis, Anthony (LAL)","Leonard, Kawhi (LAC)",2019
Amin Elhassan,ESPN,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)","Paul, Chris (OKC)",2019
Chris Fedor,Cleveland.com,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)",2019
Mike Ganter,The Toronto Sun,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)",2019
Vince Goodwill,Yahoo! Sports,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)",2019
Jared Greenberg,Turner,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Davis, Anthony (LAL)","Doncic, Luka (DAL)","Harden, James (HOU)",2019
Will Guillory,The Athletic,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)",2019
Kevin Harlan,Turner,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Lillard, Damian (POR)","Leonard, Kawhi (LAC)",2019
Zach Harper,The Athletic,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Leonard, Kawhi (LAC)","Siakam, Pascal (TOR)","Harden, James (HOU)",2019
Chris Haynes,Yahoo! Sports,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Davis, Anthony (LAL)","Doncic, Luka (DAL)",2019
Kurt Helin,NBCSports.com,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)",2019
Adam Himmelsbach,Boston Globe,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)",2019
Chris Hine,Minneapolis Star Tribune,"Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","James, LeBron (LAL)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)",2019
Erik Horne,The Athletic,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)","Harden, James (HOU)",2019
Lisa Hsu,Tencent,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)",2019
Cassidy Hubbarth,ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)",2019
Kelly Iko,The Athletic,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Lillard, Damian (POR)",2019
Frank Isola,Sirius Radio,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Davis, Anthony (LAL)","Doncic, Luka (DAL)","Paul, Chris (OKC)",2019
Mark Jackson,ESPN,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Doncic, Luka (DAL)",2019
Ernie Johnson,Turner,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)",2019
Mark Jones,ESPN,"James, LeBron (LAL)","Antetokounmpo, Giannis (MIL)","Lillard, Damian (POR)","Paul, Chris (OKC)","Harden, James (HOU)",2019
Fred Katz,The Athletic,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Leonard, Kawhi (LAC)","Davis, Anthony (LAL)",2019
Marc Kestecher,ESPN,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Davis, Anthony (LAL)",2019
Chris Kirschner,The Athletic,"Antetokounmpo, Giannis (MIL)","James, LeBron (LAL)","Harden, James (HOU)","Doncic, Luka (DAL)","Leonard, Kawhi (LAC)",2019
