Voter,Affiliation,1st,2nd,3rd,Year
Marv Albert,Turner,"Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Davis, Anthony (LAL)",2019
Sam Amick,The Athletic,"Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Davis, Anthony (LAL)",2019
Jason Anderson,Sacramento Bee,"Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Davis, Anthony (LAL)",2019
Greg Anthony,Turner,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)",2019
Kevin Arnovitz,ESPN,"Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Lopez, Brook (MIL)",2019
Steve Aschburner,NBA.com,"Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)",2019
Antoine Bancharel,Canal+ Afrique,"Gobert, Rudy (UTA)","Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)",2019
Renjun Bao,Tencent,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)",2019
Evan Barnes,Memphis Commercial Appeal,"Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Davis, Anthony (LAL)",2019
Jon Barry,ESPN,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Simmons, Ben (PHI)",2019
Rod Beard,Detroit News,"Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Davis, Anthony (LAL)",2019
Howard Beck,Bleacher Report,"Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Davis, Anthony (LAL)",2019
Marc Berman,New York Post,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Leonard, Kawhi (LAC)",2019
Tim Bontemps,ESPN,"Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Davis, Anthony (LAL)",2019
Mike Breen,ESPN,"Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Smart, Marcus (BOS)",2019
Chris Broussard,Fox Sports,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Adebayo, Bam (MIA)",2019
Ric Bucher,Bleacher Report,"Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Davis, Anthony (LAL)",2019
Doris Burke,ESPN,"Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Davis, Anthony (LAL)",2019
Shams Charania,The Athletic/Stadium,"Davis, Anthony (LAL)","Gobert, Rudy (UTA)","Antetokounmpo, Giannis (MIL)",2019
Anthony Chiang,Miami Herald,"Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Davis, Anthony (LAL)",2019
Davide Chinellato,La Gazzetta dello Sport,"Davis, Anthony (LAL)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)",2019
Joe Cowley,Chicago Sun-Times,"Beverley, Patrick (LAC)","Davis, Anthony (LAL)","Antetokounmpo, Giannis (MIL)",2019
Antoni Daimiel,Movistar+,"Adebayo, Bam (MIA)","Davis, Anthony (LAL)","Lopez, Brook (MIL)",2019
Dan Devine,The Ringer,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Simmons, Ben (PHI)",2019
Amin Elhassan,ESPN,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Adebayo, Bam (MIA)",2019
Chris Fedor,Cleveland.com,"Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Davis, Anthony (LAL)",2019
Mike Ganter,The Toronto Sun,"Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Davis, Anthony (LAL)",2019
Vince Goodwill,Yahoo! Sports,"Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Davis, Anthony (LAL)",2019
Jared Greenberg,Turner,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Lopez, Brook (MIL)",2019
Will Guillory,The Athletic,"Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Davis, Anthony (LAL)",2019
Kevin Harlan,Turner,"Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Davis, Anthony (LAL)",2019
Zach Harper,The Athletic,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)",2019
Chris Haynes,Yahoo! Sports,"Davis, Anthony (LAL)","Simmons, Ben (PHI)","Gobert, Rudy (UTA)",2019
Kurt Helin,NBCSports.com,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)",2019
Adam Himmelsbach,Boston Globe,"Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Leonard, Kawhi (LAC)",2019
Chris Hine,Minneapolis Star Tribune,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Adebayo, Bam (MIA)",2019
Erik Horne,The Athletic,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)",2019
Lisa Hsu,Tencent,"Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Davis, Anthony (LAL)",2019
Cassidy Hubbarth,ESPN,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)",2019
Kelly Iko,The Athletic,"Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Davis, Anthony (LAL)",2019
Frank Isola,Sirius Radio,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)",2019
Mark Jackson,ESPN,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Simmons, Ben (PHI)",2019
Ernie Johnson,Turner,"Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Leonard, Kawhi (LAC)",2019
Mark Jones,ESPN,"Davis, Anthony (LAL)","Antetokounmpo, Giannis (MIL)","Simmons, Ben (PHI)",2019
Fred Katz,The Athletic,"Antetokounmpo, Giannis (MIL)","Simmons, Ben (PHI)","Gobert, Rudy (UTA)",2019
Marc Kestecher,ESPN,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)",2019
Chris Kirschner,The Athletic,"Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Davis, Anthony (LAL)",2019
Nick Kosmider,The Athletic,"Antetokounmpo, Giannis (MIL)","Simmons, Ben (PHI)","Gobert, Rudy (UTA)",2019
Andy Larsen,Salt Lake Tribune,"Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Davis, Anthony (LAL)",2019
Kristen Ledlow,Turner,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)",2019
Connor Letourneau,San Francisco Chronicle,"Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Davis, Anthony (LAL)",2019
Greg Logan,Newsday,"Drummond, Andre (CLE)","Whiteside, Hassan (POR)","Antetokounmpo, Giannis (MIL)",2019
Zach Lowe,ESPN,"Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Davis, Anthony (LAL)",2019
Coral Lu,ESPN-Tencent,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)",2019
Jackie MacMullan,ESPN,"Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)",2019
Brian Mahoney,Associated Press,"Davis, Anthony (LAL)","Antetokounmpo, Giannis (MIL)","Simmons, Ben (PHI)",2019
Maxime Malet,L'Equipe,"Gobert, Rudy (UTA)","Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)",2019
Chris Mannix,Sports Illustrated,"Gobert, Rudy (UTA)","Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)",2019
Diego Martinez,Reforma,"Antetokounmpo, Giannis (MIL)","Davis, Anthony (LAL)","Gobert, Rudy (UTA)",2019
